codigo,nombre,padre,grupo,rubro,tipo,account_type
1,Activos,,1,Asset,,
11,Activos Corrientes,1,1,Asset,,
11.01,Efectivo y Equivalentes de Efectivo,11,1,Asset,,
11.01.01,Efectivo en Caja,11.01,0,Asset,,cash
11.01.02,Caja Chica,11.01,0,Asset,,cash
11.01.03,Cuentas Bancarias,11.01,0,Asset,,bank
11.01.04,Equivalentes de Efectivo,11.01,0,Asset,,
11.01.05,Fondos Pendientes de Depositar,11.01,0,Asset,,
11.02,Deudores Comerciales y Otras Cuentas por Cobrar,11,1,Asset,,
11.02.01,Cuentas por Cobrar Comerciales,11.02,0,Asset,,receivable
11.02.02,Cuentas por Cobrar a Partes Relacionadas,11.02,0,Asset,,
11.02.03,Otras Cuentas por Cobrar,11.02,0,Asset,,
11.02.04,Anticipos y Cuentas por Cobrar a Empleados,11.02,0,Asset,,
11.02.05,Anticipos a Proveedores,11.02,0,Asset,,supplier_advance
11.02.90,Estimación por Deterioro de Cuentas por Cobrar,11.02,0,Asset,,
11.03,Inventarios,11,1,Asset,,
11.03.01,Inventario de Mercancías,11.03,0,Asset,,inventory
11.03.02,Materias Primas,11.03,0,Asset,,
11.03.03,Producción en Proceso,11.03,0,Asset,,
11.03.04,Productos Terminados,11.03,0,Asset,,
11.03.05,Materiales y Suministros,11.03,0,Asset,,
11.03.06,Mercancías en Tránsito,11.03,0,Asset,,
11.03.07,Activo por Devoluciones,11.03,0,Asset,,
11.03.08,Productos Agrícolas,11.03,0,Asset,,
11.03.90,Estimación por Deterioro de Inventarios,11.03,0,Asset,,
11.04,Activos y Costos de Contratos,11,1,Asset,,
11.04.01,Activos por Contratos — Corrientes,11.04,0,Asset,,
11.04.02,Activos por Costos de Cumplimiento de Contratos — Corrientes,11.04,0,Asset,,
11.04.90,Estimación por Deterioro de Activos por Contratos,11.04,0,Asset,,
11.04.91,Amortización y Deterioro Acumulados — Costos de Contratos,11.04,0,Asset,,
11.05,Impuesto Corriente y Otros Impuestos por Cobrar,11,1,Asset,,
11.05.01,Impuesto Corriente sobre las Ganancias por Cobrar,11.05,0,Asset,,
11.05.02,Impuestos Indirectos por Recuperar,11.05,0,Asset,,tax
11.05.03,Retenciones y Créditos Fiscales por Cobrar,11.05,0,Asset,,
11.05.09,Otros Impuestos por Cobrar,11.05,0,Asset,,
11.06,Otros Activos Financieros Corrientes,11,1,Asset,,
11.06.01,Préstamos por Cobrar — Corrientes,11.06,0,Asset,,
11.06.02,Instrumentos de Deuda al Costo Amortizado — Corrientes,11.06,0,Asset,,
11.06.03,Activos Financieros a Valor Razonable con Cambios en Resultados — Corrientes,11.06,0,Asset,,
11.06.04,Instrumentos de Patrimonio al Costo Menos Deterioro — Corrientes,11.06,0,Asset,,
11.06.05,Cuentas por Cobrar por Arrendamientos Financieros — Corrientes,11.06,0,Asset,,
11.06.06,Activos Financieros Derivados — Corrientes,11.06,0,Asset,,
11.06.90,Estimación por Deterioro de Otros Activos Financieros,11.06,0,Asset,,
11.07,Pagos Anticipados y Otros Activos Corrientes,11,1,Asset,,
11.07.01,Seguros Pagados por Anticipado,11.07,0,Asset,,
11.07.02,Alquileres y Arrendamientos Operativos Pagados por Anticipado,11.07,0,Asset,,
11.07.03,Otros Pagos Anticipados,11.07,0,Asset,,deferred_expense
11.07.04,Depósitos Corrientes,11.07,0,Asset,,
11.07.09,Otros Activos Corrientes,11.07,0,Asset,,
12,Activos No Corrientes,1,1,Asset,,
12.01,Activos Financieros No Corrientes,12,1,Asset,,
12.01.01,Préstamos por Cobrar — No Corrientes,12.01,0,Asset,,
12.01.02,Instrumentos de Deuda al Costo Amortizado — No Corrientes,12.01,0,Asset,,
12.01.03,Activos Financieros a Valor Razonable con Cambios en Resultados — No Corrientes,12.01,0,Asset,,
12.01.04,Instrumentos de Patrimonio al Costo Menos Deterioro — No Corrientes,12.01,0,Asset,,
12.01.05,Cuentas por Cobrar por Arrendamientos Financieros — No Corrientes,12.01,0,Asset,,
12.01.06,Activos Financieros Derivados — No Corrientes,12.01,0,Asset,,
12.01.90,Estimación por Deterioro — Activos Financieros No Corrientes,12.01,0,Asset,,
12.02,Inversiones en Asociadas,12,1,Asset,,
12.02.01,Inversiones en Asociadas,12.02,0,Asset,,
12.03,Inversiones en Entidades Controladas Conjuntamente,12,1,Asset,,
12.03.01,Inversiones en Entidades Controladas Conjuntamente,12.03,0,Asset,,
12.04,Propiedades de Inversión,12,1,Asset,,
12.04.01,Propiedades de Inversión — Modelo de Valor Razonable,12.04,0,Asset,,
12.04.02,Propiedades de Inversión — Modelo del Costo,12.04,0,Asset,,
12.04.80,Depreciación Acumulada — Propiedades de Inversión,12.04,0,Asset,,
12.04.90,Deterioro Acumulado — Propiedades de Inversión,12.04,0,Asset,,
12.05,"Propiedades, Planta y Equipo",12,1,Asset,,
12.05.01,Terrenos,12.05,0,Asset,,
12.05.02,Edificios,12.05,0,Asset,,
12.05.03,"Planta, Maquinaria y Equipo",12.05,0,Asset,,
12.05.04,Vehículos,12.05,0,Asset,,
12.05.05,Mobiliario y Enseres,12.05,0,Asset,,
12.05.06,Equipos Informáticos y de Tecnología,12.05,0,Asset,,
12.05.07,Mejoras en Propiedades Arrendadas,12.05,0,Asset,,
12.05.08,Construcciones en Proceso,12.05,0,Asset,,
12.05.09,Activos Bajo Arrendamientos Financieros,12.05,0,Asset,,
12.05.10,Plantas Productoras,12.05,0,Asset,,
12.05.80,Depreciación Acumulada — Edificios,12.05,0,Asset,,
12.05.81,"Depreciación Acumulada — Planta, Maquinaria y Equipo",12.05,0,Asset,,
12.05.82,Depreciación Acumulada — Vehículos,12.05,0,Asset,,
12.05.83,Depreciación Acumulada — Mobiliario y Enseres,12.05,0,Asset,,
12.05.84,Depreciación Acumulada — Equipos Informáticos y de Tecnología,12.05,0,Asset,,
12.05.85,Depreciación Acumulada — Mejoras en Propiedades Arrendadas,12.05,0,Asset,,
12.05.86,Depreciación Acumulada — Activos Bajo Arrendamiento Financiero,12.05,0,Asset,,
12.05.87,Depreciación Acumulada — Plantas Productoras,12.05,0,Asset,,
12.05.90,"Deterioro Acumulado — Propiedades, Planta y Equipo",12.05,0,Asset,,
12.06,Activos Intangibles Distintos de la Plusvalía,12,1,Asset,,
12.06.01,Software Adquirido,12.06,0,Asset,,
12.06.02,Patentes y Marcas,12.06,0,Asset,,
12.06.03,Licencias y Franquicias,12.06,0,Asset,,
12.06.04,Relaciones con Clientes y Derechos Contractuales Adquiridos,12.06,0,Asset,,
12.06.09,Otros Activos Intangibles Adquiridos,12.06,0,Asset,,
12.06.80,Amortización Acumulada — Activos Intangibles,12.06,0,Asset,,
12.06.90,Deterioro Acumulado — Activos Intangibles,12.06,0,Asset,,
12.07,Plusvalía (Goodwill),12,1,Asset,,
12.07.01,Plusvalía,12.07,0,Asset,,
12.07.80,Amortización Acumulada — Plusvalía,12.07,0,Asset,,
12.07.90,Deterioro Acumulado — Plusvalía,12.07,0,Asset,,
12.08,Activos por Impuesto Diferido,12,1,Asset,,
12.08.01,Activos por Impuesto Diferido,12.08,0,Asset,,
12.09,Activos por Beneficios a los Empleados,12,1,Asset,,
12.09.01,Activo por Plan de Beneficios Definidos,12.09,0,Asset,,
12.09.09,Otros Activos por Beneficios a los Empleados,12.09,0,Asset,,
12.10,Activos y Costos de Contratos No Corrientes,12,1,Asset,,
12.10.01,Activos por Contratos — No Corrientes,12.10,0,Asset,,
12.10.02,Activos por Costos de Cumplimiento de Contratos — No Corrientes,12.10,0,Asset,,
12.10.90,Amortización y Deterioro Acumulados — Costos de Contratos,12.10,0,Asset,,
12.11,Activos Biológicos,12,1,Asset,,
12.11.01,Activos Biológicos — Modelo de Valor Razonable,12.11,0,Asset,,
12.11.02,Activos Biológicos — Modelo del Costo,12.11,0,Asset,,
12.11.80,Depreciación Acumulada — Activos Biológicos,12.11,0,Asset,,
12.11.90,Deterioro Acumulado — Activos Biológicos,12.11,0,Asset,,
12.12,Otros Activos No Corrientes,12,1,Asset,,
12.12.01,Pagos Anticipados a Largo Plazo,12.12,0,Asset,,
12.12.02,Depósitos a Largo Plazo,12.12,0,Asset,,
12.12.03,Activos de Exploración y Evaluación,12.12,0,Asset,,
12.12.09,Otros Activos No Corrientes,12.12,0,Asset,,
2,Pasivos,,1,Liability,,
21,Pasivos Corrientes,2,1,Liability,,
21.01,Acreedores Comerciales y Otras Cuentas por Pagar,21,1,Liability,,
21.01.01,Cuentas por Pagar Comerciales,21.01,0,Liability,,payable
21.01.02,Bienes Recibidos No Facturados,21.01,0,Liability,,bridge
21.01.03,Cuentas por Pagar a Partes Relacionadas,21.01,0,Liability,,
21.01.04,Gastos Acumulados por Pagar,21.01,0,Liability,,
21.01.09,Otras Cuentas por Pagar,21.01,0,Liability,,
21.02,Pasivos Financieros Corrientes,21,1,Liability,,
21.02.01,Sobregiros Bancarios,21.02,0,Liability,,
21.02.02,Préstamos Bancarios a Corto Plazo,21.02,0,Liability,,
21.02.03,Porción Corriente de Deuda a Largo Plazo,21.02,0,Liability,,
21.02.04,Pasivos por Arrendamientos Financieros — Corrientes,21.02,0,Liability,,
21.02.05,Pasivos Financieros al Costo Amortizado — Corrientes,21.02,0,Liability,,
21.02.06,Pasivos Financieros a Valor Razonable con Cambios en Resultados — Corrientes,21.02,0,Liability,,
21.02.07,Pasivos Financieros Derivados — Corrientes,21.02,0,Liability,,
21.02.08,Obligaciones por Financiación de Proveedores — Corrientes,21.02,0,Liability,,
21.03,Pasivos por Contratos y Anticipos de Clientes,21,1,Liability,,
21.03.01,Anticipos de Clientes,21.03,0,Liability,,customer_advance
21.03.02,Pasivos por Contratos — Corrientes,21.03,0,Liability,,deferred_income
21.04,Pasivos por Reembolsos,21,1,Liability,,
21.04.01,Pasivos por Reembolsos,21.04,0,Liability,,
21.05,Impuesto Corriente y Otros Impuestos por Pagar,21,1,Liability,,
21.05.01,Impuesto Corriente sobre las Ganancias por Pagar,21.05,0,Liability,,
21.05.02,Impuestos Indirectos por Pagar,21.05,0,Liability,,tax
21.05.03,Retenciones por Pagar,21.05,0,Liability,,
21.05.04,Impuestos de Nómina y Contribuciones Sociales por Pagar,21.05,0,Liability,,
21.05.09,Otros Impuestos por Pagar,21.05,0,Liability,,
21.06,Pasivos por Beneficios a los Empleados y Nómina,21,1,Liability,,
21.06.01,Sueldos y Salarios por Pagar,21.06,0,Liability,,
21.06.02,Vacaciones y Ausencias Acumuladas por Pagar,21.06,0,Liability,,
21.06.03,Bonificaciones y Participaciones por Pagar,21.06,0,Liability,,
21.06.04,Planes de Aportaciones Definidas por Pagar,21.06,0,Liability,,
21.06.05,Beneficios por Terminación — Corrientes,21.06,0,Liability,,
21.06.06,Pasivo por Pagos Basados en Acciones — Corriente,21.06,0,Liability,,
21.06.09,Otros Beneficios a Empleados a Corto Plazo,21.06,0,Liability,,
21.07,Provisiones Corrientes,21,1,Liability,,
21.07.01,Provisión por Garantías — Corriente,21.07,0,Liability,,
21.07.02,Provisión por Contratos Onerosos — Corriente,21.07,0,Liability,,
21.07.03,Provisión por Reestructuración — Corriente,21.07,0,Liability,,
21.07.04,Provisión por Litigios — Corriente,21.07,0,Liability,,
21.07.05,Provisión por Desmantelamiento y Restauración — Corriente,21.07,0,Liability,,
21.07.09,Otras Provisiones Corrientes,21.07,0,Liability,,
21.08,Otros Pasivos Corrientes,21,1,Liability,,
21.08.01,Pasivo por Subvenciones del Gobierno — Corriente,21.08,0,Liability,,
21.08.02,Otros Ingresos Diferidos — Corrientes,21.08,0,Liability,,
21.08.03,Dividendos y Distribuciones por Pagar,21.08,0,Liability,,
21.08.09,Otros Pasivos Corrientes,21.08,0,Liability,,
22,Pasivos No Corrientes,2,1,Liability,,
22.01,Pasivos Financieros No Corrientes,22,1,Liability,,
22.01.01,Préstamos Bancarios a Largo Plazo,22.01,0,Liability,,
22.01.02,"Pagarés, Bonos y Otras Deudas a Largo Plazo",22.01,0,Liability,,
22.01.03,Pasivos por Arrendamientos Financieros — No Corrientes,22.01,0,Liability,,
22.01.04,Pasivos Financieros al Costo Amortizado — No Corrientes,22.01,0,Liability,,
22.01.05,Pasivos Financieros a Valor Razonable con Cambios en Resultados — No Corrientes,22.01,0,Liability,,
22.01.06,Pasivos Financieros Derivados — No Corrientes,22.01,0,Liability,,
22.01.07,Obligaciones por Financiación de Proveedores — No Corrientes,22.01,0,Liability,,
22.02,Obligaciones No Corrientes por Beneficios a los Empleados,22,1,Liability,,
22.02.01,Obligación por Beneficios Definidos,22.02,0,Liability,,
22.02.02,Otros Beneficios a Empleados a Largo Plazo,22.02,0,Liability,,
22.02.03,Beneficios por Terminación — No Corrientes,22.02,0,Liability,,
22.02.04,Pasivo por Pagos Basados en Acciones — No Corriente,22.02,0,Liability,,
22.03,Provisiones No Corrientes,22,1,Liability,,
22.03.01,Provisión por Garantías — No Corriente,22.03,0,Liability,,
22.03.02,Provisión por Contratos Onerosos — No Corriente,22.03,0,Liability,,
22.03.03,Provisión por Reestructuración — No Corriente,22.03,0,Liability,,
22.03.04,Provisión por Litigios — No Corriente,22.03,0,Liability,,
22.03.05,Provisión por Desmantelamiento y Restauración — No Corriente,22.03,0,Liability,,
22.03.09,Otras Provisiones No Corrientes,22.03,0,Liability,,
22.04,Pasivos por Impuesto Diferido,22,1,Liability,,
22.04.01,Pasivos por Impuesto Diferido,22.04,0,Liability,,
22.05,Pasivos por Contratos No Corrientes,22,1,Liability,,
22.05.01,Pasivos por Contratos — No Corrientes,22.05,0,Liability,,
22.06,Pasivos por Subvenciones del Gobierno,22,1,Liability,,
22.06.01,Pasivo por Subvenciones del Gobierno — No Corriente,22.06,0,Liability,,
22.09,Otros Pasivos No Corrientes,22,1,Liability,,
22.09.01,Pasivo por Contraprestación Contingente — Combinaciones de Negocios,22.09,0,Liability,,
22.09.02,Pasivos Contingentes Reconocidos — Combinaciones de Negocios,22.09,0,Liability,,
22.09.09,Otros Pasivos No Corrientes,22.09,0,Liability,,
3,Patrimonio,,1,Equity,,
31,Patrimonio Atribuible a los Propietarios,3,1,Equity,,
31.01,Capital Social,31,1,Equity,,
31.01.01,Capital Social Ordinario,31.01,0,Equity,,
31.01.02,Capital Social Preferente,31.01,0,Equity,,
31.02,Prima de Emisión,31,1,Equity,,
31.02.01,Prima de Emisión,31.02,0,Equity,,
31.03,Acciones Propias en Cartera,31,1,Equity,,
31.03.01,Acciones Propias en Cartera,31.03,0,Equity,,
31.04,Reserva por Pagos Basados en Acciones,31,1,Equity,,
31.04.01,Reserva por Pagos Basados en Acciones,31.04,0,Equity,,
32,Reservas de Otro Resultado Integral,3,1,Equity,,
32.01.01,"Superávit por Revaluación de Propiedades, Planta y Equipo",32,0,Equity,,
32.02.01,Reserva por Conversión de Moneda Extranjera,32,0,Equity,,
32.03.01,Reserva de Coberturas,32,0,Equity,,
32.04.01,Reserva de Ganancias y Pérdidas Actuariales,32,0,Equity,,
32.05.01,Participación en ORI de Asociadas y Entidades Controladas Conjuntamente,32,0,Equity,,
33,Resultados Acumulados y del Periodo,3,1,Equity,,
33.01.01,Resultados Acumulados de Periodos Anteriores,33,0,Equity,,retained_earnings
33.02.01,Ganancia o Pérdida del Periodo,33,0,Equity,,period_profit_loss
33.03.01,Dividendos y Distribuciones,33,0,Equity,,
34,Participaciones No Controladoras,3,1,Equity,,
34.01.01,Participaciones No Controladoras,34,0,Equity,,
35,Patrimonio de Entidades sin Capital Accionario,3,1,Equity,,
35.01.01,"Capital de Propietarios, Miembros o Socios",35,0,Equity,,
35.02.01,"Aportes de Propietarios, Miembros o Socios",35,0,Equity,,
35.03.01,"Distribuciones a Propietarios, Miembros o Socios",35,0,Equity,,
4,Ingresos de Actividades Ordinarias,,1,Income,,
41,Ingresos de Contratos con Clientes,4,1,Income,,
41.01,Venta de Bienes,41,1,Income,,
41.01.01,Ingresos por Venta de Productos y Mercancías,41.01,0,Income,,income
41.02,Prestación de Servicios,41,1,Income,,
41.02.01,Ingresos por Servicios,41.02,0,Income,,
41.03,Suscripciones y Servicios Recurrentes,41,1,Income,,
41.03.01,Ingresos por Suscripciones,41.03,0,Income,,
41.04,Licencias y Regalías,41,1,Income,,
41.04.01,Ingresos por Licencias y Regalías,41.04,0,Income,,
41.05,Ingresos por Comisiones y Agencia,41,1,Income,,
